token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST203	0	0	0	per	per	_	_	_	_	_	linguistic	_	none	_	Begin=2.45	_	_	_	_
0-1	PST203	0	0	1	scopi	scopi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PST203	0	0	2	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PST203	0	0	3	ricerca	ricerca	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PST203	0	0	4	quindi	quindi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PST203	0	0	5	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PST203	0	0	6	comerciali,	comerciali	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=5.1	_	_	_	_
1-0	PST203	1	1	0	in	in	_	_	_	_	_	linguistic	_	none	_	Begin=5.56	_	_	_	_
1-1	PST203	1	1	1	forma	forma	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
1-2	PST203	1	1	2	anonima.	anonima	_	_	_	_	_	linguistic	_	none	Intonation=Falling	End=6.47	_	_	_	_
2-0	PST203	2	2	0	quindi	quindi	_	_	_	_	_	linguistic	_	none	_	Begin=6.96	_	_	_	_
2-1	PST203	2	2	1	vuol	vuol	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PST203	2	2	2	dire	dire	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PST203	2	2	3	che:	che	_	_	_	_	_	linguistic	_	none	_	_	2x1	_	_	_
2-4	PST203	2	2	4	se	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	PST203	2	2	5	dici	dici	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PST203	2	2	6	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-7	PST203	2	2	7	tuo	tuo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-8	PST203	2	2	8	nome::	nome	_	_	_	_	_	linguistic	_	none	_	_	3x2	_	_	_
2-9	PST203	2	2	9	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-10	PST203	2	2	10	tuo	tuo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-11	PST203	2	2	11	indirizzo	indirizzo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-12	PST203	2	2	12	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-13	PST203	2	2	13	tuo	tuo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-14	PST203	2	2	14	numero	numero	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-15	PST203	2	2	15	di	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-16	PST203	2	2	16	telefono	telefono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-17	PST203	2	2	17	eccetera	eccetera	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-18	PST203	2	2	18	poi	poi	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
2-19	PST203	2	2	19	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
2-20	PST203	2	2	20	viene	viene	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-21	PST203	2	2	21	oscurato	oscurato	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-22	PST203	2	2	22	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-23	PST203	2	2	23	quindi:	quindi	_	_	_	_	_	linguistic	_	none	_	_	5x1	_	_	_
2-24	PST203	2	2	24	i	i	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-25	PST203	2	2	25	dati	dati	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-26	PST203	2	2	26	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-27	PST203	2	2	27	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-28	PST203	2	2	28	più:	più	_	_	_	_	_	linguistic	_	none	_	_	2x1	_	_	_
2-29	PST203	2	2	29	riconducibili::	riconducibili	_	_	_	_	_	linguistic	_	none	_	_	12x2	_	_	_
2-30	PST203	2	2	30	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-31	PST203	2	2	31	te,	te	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	End=17.49	_	_	_	_
3-0	PST203	3	3	0	al	al	_	_	_	_	_	linguistic	_	none	_	Begin=17.64	_	_	_	_
3-1	PST203	3	3	1	posto	posto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PST203	3	3	2	del	del	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-3	PST203	3	3	3	tuo	tuo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-4	PST203	3	3	4	nome	nome	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-5	PST203	3	3	5	viene	viene	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	PST203	3	3	6	messa	messa	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-7	PST203	3	3	7	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-8	PST203	3	3	8	sigla	sigla	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
3-9	PST203	3	3	9	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
3-10	PST203	3	3	10	e::h	eh	_	_	_	_	_	linguistic	_	none	_	_	0x2	_	_	_
3-11	PST203	3	3	11	boh	boh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-12	PST203	3	3	12	quindi	quindi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-13	PST203	3	3	13	il	il	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-14	PST203	3	3	14	contributo	contributo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-15	PST203	3	3	15	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-16	PST203	3	3	16	dai	dai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-17	PST203	3	3	17	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-18	PST203	3	3	18	m::h	mh	_	_	_	_	_	linguistic	_	none	_	_	0x2	_	_	_
