token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST211	0	0	0	allora	allora	_	_	_	_	_	linguistic	_	none	_	Begin=0.63	_	_	_	_
0-1	PST211	0	0	1	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PST211	0	0	2	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PST211	0	0	3	@selene	@selene	_	_	_	_	_	anonymized	_	none	_	_	_	_	_	_
0-4	PST211	0	0	4	piacere	piacere	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	_	_
0-5	PST211	0	0	5	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
0-6	PST211	0	0	6	voi	voi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	PST211	0	0	7	come	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-8	PST211	0	0	8	vi	vi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-9	PST211	0	0	9	chiamate?	chiamate	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=3.464	_	_	_	_
1-0	PST056	1	1	0	@pamela	@pamela	_	_	_	_	_	anonymized	_	none	_	Begin=3.63|End=3.991	_	_	_	_
2-0	PST057	2	2	0	@debora	@debora	_	_	_	_	_	anonymized	_	none	_	Begin=4.4|End=4.765	_	_	_	_
3-0	PST211	3	3	0	@pamela	@pamela	_	_	_	_	_	anonymized	_	none	_	Begin=4.78	_	_	_	_
3-1	PST211	3	3	1	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-2	PST211	3	3	2	@debora	@debora	_	_	_	_	_	anonymized	_	none	PauseAfter=Yes	_	_	_	_	_
3-3	PST211	3	3	3	{P}	{P}	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
3-4	PST211	3	3	4	quanti	quanti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-5	PST211	3	3	5	anni	anni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
3-6	PST211	3	3	6	avete?	avete	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=6.426	_	_	_	_
4-0	PST056	4	4	0	diciassette	diciassette	_	_	_	_	_	linguistic	_	none	_	Begin=6.55	_	_	_	_
4-1	PST056	4	4	1	anni	anni	_	_	_	_	_	linguistic	_	none	_	End=7.439	_	_	_	_
5-0	PST211	5	5	0	diciassette,	diciassette	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	Begin=7.569|End=8.222999999999999	_	_	_	_
6-0	PST057	6	6	0	diciassette	diciassette	_	_	_	_	_	linguistic	_	none	_	Begin=8.222999999999999|End=8.754	_	_	_	_
7-0	PST211	7	7	0	diciasette	diciasette	_	_	_	_	_	linguistic	_	none	_	Begin=8.77	_	_	_	_
7-1	PST211	7	7	1	ottimo	ottimo	_	_	_	_	_	linguistic	_	none	_	End=10.069	_	_	_	_
8-0	PST211	8	8	0	e:	e	_	_	_	_	_	linguistic	_	none	_	Begin=10.21	0x1	_	_	_
8-1	PST211	8	8	1	siete	siete	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-2	PST211	8	8	2	nate	nate	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-3	PST211	8	8	3	qui	qui	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-4	PST211	8	8	4	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-5	PST211	8	8	5	torino?	torino	_	_	_	_	_	linguistic	_	none	Intonation=Rising	_	_	_	_	_
8-6	PST211	8	8	6	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-7	PST211	8	8	7	italia:,	italia	_	_	_	_	_	linguistic	_	none	Intonation=WeaklyRising	_	5x1	_	_	_
8-8	PST211	8	8	8	o	o	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
8-9	PST211	8	8	9	siete	siete	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
