token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST211	0	0	0	eccoci	eccoci	_	_	_	_	_	linguistic	_	none	_	Begin=1.73|End=2.42	_	_	_	_
1-0	PST211	1	1	0	ciao	ciao	_	_	_	_	_	linguistic	_	none	_	Begin=2.92	_	_	_	_
1-1	PST211	1	1	1	mi:	mi	_	_	_	_	_	linguistic	_	none	_	End=4.07	1x1	_	_	_
2-0	PST211	2	2	0	@lucia	@lucia	_	_	_	_	_	anonymized	_	none	_	Begin=4.23|End=4.62	_	_	_	_
3-0	PST211	3	3	0	[giusto]?	giusto	_	_	_	_	_	linguistic	_	none	Intonation=Rising	Begin=4.7|End=5.31	_	_	_	0-6(2)
4-0	PST038	4	4	0	[@lucia]	@lucia	_	_	_	_	_	anonymized	_	none	_	Begin=4.71|End=5.3	_	_	_	0-6(2)
5-0	PST038	5	5	0	sì	sì	_	_	_	_	_	linguistic	_	none	ProsodicLink=Yes	Begin=5.43	_	_	_	_
5-1	PST038	5	5	1	sì	sì	_	_	_	_	_	linguistic	_	none	ProsodicLink=Yes	_	_	_	_	_
5-2	PST038	5	5	2	sì	sì	_	_	_	_	_	linguistic	_	none	_	End=6.12	_	_	_	_
6-0	PST211	6	6	0	e:	e	_	_	_	_	_	linguistic	_	none	_	Begin=6.28	0x1	_	_	_
6-1	PST211	6	6	1	da	da	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	PST211	6	6	2	quanto	quanto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-3	PST211	6	6	3	tempo	tempo	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-4	PST211	6	6	4	tu	tu	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-5	PST211	6	6	5	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-6	PST211	6	6	6	qui	qui	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-7	PST211	6	6	7	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-8	PST211	6	6	8	italia?	italia	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=8.333	_	_	_	_
7-0	PST038	7	7	0	allora	allora	_	_	_	_	_	linguistic	_	some	_	Begin=9.24	_	_	_	_
7-1	PST038	7	7	1	io	io	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
7-2	PST038	7	7	2	sono	sono	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
7-3	PST038	7	7	3	arrivata	arrivata	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
7-4	PST038	7	7	4	qua	qua	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
7-5	PST038	7	7	5	in	in	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
7-6	PST038	7	7	6	italia	italia	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
7-7	PST038	7	7	7	#e:l	el	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	End=11.32	0x1	_	_	_
8-0	PST038	8	8	0	quattordici	quattordici	_	_	_	_	_	linguistic	_	none	_	Begin=11.95	_	_	_	_
8-1	PST038	8	8	1	settembre	settembre	_	_	_	_	_	linguistic	_	none	_	End=13.36	_	_	_	_
9-0	PST038	9	9	0	de:l	del	_	_	_	_	_	linguistic	_	none	_	Begin=13.44	1x1	_	_	_
9-1	PST038	9	9	1	millenovecentonovantadue	millenovecentonovantadue	_	_	_	_	_	linguistic	_	none	_	End=15.15	_	_	_	_
10-0	PST211	10	10	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=15.4	_	_	_	_
10-1	PST211	10	10	1	wow	wow	_	_	_	_	_	linguistic	_	none	_	End=16.13	_	_	_	_
11-0	PST211	11	11	0	quindi	quindi	_	_	_	_	_	linguistic	_	none	_	Begin=16.18	_	_	_	_
11-1	PST211	11	11	1	ormai	ormai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-2	PST211	11	11	2	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-3	PST211	11	11	3	bel	bel	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-4	PST211	11	11	4	po'	po'	_	_	_	_	_	linguistic	_	none	_	End=17.19	_	_	_	_
12-0	PST211	12	12	0	e:	e	_	_	_	_	_	linguistic	_	none	_	Begin=17.23	0x1	_	_	_
12-1	PST211	12	12	1	[hai	hai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(8)
12-2	PST211	12	12	2	sem]pre	sempre	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(8)
12-3	PST211	12	12	3	vissuto	vissuto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-4	PST211	12	12	4	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-5	PST211	12	12	5	torino	torino	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-6	PST211	12	12	6	o	o	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-7	PST211	12	12	7	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-8	PST211	12	12	8	arrivata	arrivata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-9	PST211	12	12	9	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-10	PST211	12	12	10	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-11	PST211	12	12	11	altra	altra	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
12-12	PST211	12	12	12	città	città	_	_	_	_	_	linguistic	_	none	_	End=19.69	_	_	_	_
13-0	PST038	13	13	0	[sì]	sì	_	_	_	_	_	linguistic	_	none	_	Begin=17.38|End=17.75	_	_	_	0-2(8)
14-0	PST038	14	14	0	no	no	_	_	_	_	_	linguistic	_	none	_	Begin=19.73	_	_	_	_
14-1	PST038	14	14	1	so~	so~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
14-2	PST038	14	14	2	no	no	_	_	_	_	_	linguistic	_	none	ProsodicLink=Yes	_	_	_	_	_
14-3	PST038	14	14	3	no	no	_	_	_	_	_	linguistic	_	none	ProsodicLink=Yes	_	_	_	_	_
14-4	PST038	14	14	4	no:	no	_	_	_	_	_	linguistic	_	none	_	_	1x1	_	_	_
14-5	PST038	14	14	5	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
