code	occupation	gender	conversations	birth-region	age-range	study-level	mothertongue	age-of-arrival-italy	years-in-italy
PST001	0-Unemployed	F	STIS001	peru	31-35	foreign-diploma	spagnolo	26-30	0-1
PST002	0-Unemployed	M	STIS001	peru	31-35	foreign-diploma	spagnolo	31-35	0-1
PST003	0-Unemployed	M	STIA001	marocco	31-35	foreign-diploma	arabo	31-35	0-1
PST004	5-Service-Workers	F	STIA001	peru	21-25	foreign-diploma	spagnolo	21-25	02-03
PST005	0-Unemployed	F	STIS003	argentina	51-55	foreign-diploma	spagnolo	51-55	0-1
PST006	5-Service-Workers	F	STIS003	peru	41-45	foreign-diploma	spagnolo	51-55	0-1
PST007	5-Service-Workers	M	STIS004	peru	21-25	foreign-diploma	spagnolo	21-25	02-03
PST008	5-Service-Workers	M	STIS004	argentina	21-25	foreign-diploma	spagnolo	21-25	0-1
PST009	0-Students	M	STIA002	marocco	16-20	technical-vocational-diploma	arabo	06-10	08-09
PST012	0-Unemployed	F	STIA004	marocco	51-55	technical-vocational-diploma	arabo	26-30	26-27
PST013	3-Technicians	M	STIA005	marocco	56-60	university-degree	arabo	26-30	28-29
PST014	8-Elementary	M	STIA006	marocco	31-35	middle-school	arabo	11-15	22-23
PST015	8-Elementary	M	STIA007	marocco	26-30	technical-vocational-diploma	arabo	11-15	16-17
PST016	0-Unemployed	M	STIA008	marocco	41-45	university-degree	arabo	31-35	08-09
PST017	0-Students	F	STIA009	marocco	21-25	technical-vocational-diploma	arabo	06-10	12-13
PST018	0-Students	F	STIA010	piemonte	21-25	university-degree-ongoing	arabo	N/A	N/A
PST032	0-Unemployed	F	STIA012	marocco	36-40	middle-school	arabo	16-20	16-17
PST034	0-Unemployed	F	STIR011	romania	46-50	foreign-diploma	romeno	26-30	22-23
PST036	0-Students	F	STIR012	piemonte	21-25	university-degree-ongoing	italiano	N/A	N/A
PST038	5-Service-Workers	F	STIS005	peru	56-60	university-degree	spagnolo	21-25	32-33
PST039	3-Technicians	F	STIR013	romania	41-45	foreign-diploma	romeno	21-25	20-21
PST041	6-Craft-Workers	M	STIR014	moldavia	56-60	foreign-diploma	romeno	46-50	10-11
PST042	5-Service-Workers	F	STIR015	romania	46-50	university-degree	romeno	26-30	16-17
PST043	0-Students	M	STIS006	piemonte	16-20	liceo-diploma	italiano	N/A	N/A
PST044	0-Unemployed	F	STIR016	romania	41-45	foreign-diploma	romeno	21-25	18-19
PST045	0-Unemployed	F	STIR017	romania	36-40	university-degree	romeno	21-25	12-13
PST046	0-Unemployed	F	STIR018	romania	41-45	university-degree	romeno	21-25	16-17
PST049	2-Professionals	M	STIS008	peru	36-40	university-degree	spagnolo	26-30	10-11
PST050	8-Elementary	F	STIR019	romania	36-40	foreign-diploma	romeno	16-20	22-23
PST051	3-Technicians	F	STIR020	romania	36-40	foreign-diploma	romeno	21-25	16-17
PST052	8-Elementary	F	STIR021	romania	41-45	foreign-diploma	romeno	26-30	16-17
PST054	0-Students	M	STIA002	marocco	16-20	liceo-diploma	italiano; arabo	N/A	N/A
PST055	8-Elementary	F	STIR022	romania	46-50	foreign-diploma	romeno	26-30	20-21
