tu_id	speaker	start	end	parent_tu_id	text
265	PST082_trad	591.340	595.570	264	sei andata a quello mh il monastero allegro o qualcosa del genere
267	PST091_trad	595.280	596.220	266	il monastero allegro
273	PST082_trad	600.090	602.130	272	eh non era il monastero alle~ era
275	PST091_trad	600.100	601.070	274	non monastero
277	PST091_trad	602.300	604.550	276	ehm mor~ mi~ eh il cimitero allegro
280	PST091_trad	604.840	609.120	278	non sono stata a bucovina no non sono stata ma vorrei andarci
281	PST082_trad	604.840	605.770	279	il cimitero allegro
283	PST082_trad	608.975	612.040	282	eh ho sentito che era bello, anche io, anche io vorrei
286	PST082_trad	612.880	613.810	285	anche io vorrei
288	PST091_trad	613.430	614.500	287	anche io vorrei
526	PST091_trad	1186.620	1188.590	525	mi piace
529	PST091_trad	1189.990	1191.890	528	mi piace
531	PST082_trad	1191.030	1192.240	530	pia~ mi piace
542	PST091_trad	1210.540	1212.120	541	i contadini
544	PST091_trad	1212.225	1216.645	543	li senti li senti quando parlano poveretti
546	PST082_trad	1212.245	1213.195	545	i contadini
753	PST091_trad	1690.540	1695.902	752	se facevi caso anche nei bar che ne so, dove siamo andati non avevano
757	PST082_trad	1696.540	1697.390	756	sì sì
759	PST082_trad	1699.550	1699.860	758	dai
761	PST091_trad	1700.010	1705.546	760	eh dai, eh lì se vai al bar o, esatto
764	PST082_trad	1702.620	1703.180	763	oddio
845	PST082_trad	1900.688	1902.068	844	presa in giro
848	PST082_trad	1902.338	1904.960	847	presa in giro
907	PST091_trad	2024.838	2026.260	906	sono rimasti con
912	PST091_trad	2035.010	2038.340	911	eh i pantaloni sono rimasti alle caviglie, i pantaloni sono rimasti alle caviglie
954	PST082_trad	2136.740	2137.870	953	non vedevo l'orologio
956	PST091_trad	2137.970	2138.500	955	l'orologio
960	PST091_trad	2140.555	2141.920	959	non vedevo l orologio
966	PST091_trad	2147.489	2150.849	965	non vedevo l'orologio
969	PST091_trad	2152.470	2155.329	968	non vedevo l'orologio sì sì
