token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST103	0	0	0	non	non	_	_	_	_	_	linguistic	_	none	_	Begin=0.43	_	_	_	_
0-1	PST103	0	0	1	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PST103	0	0	2	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-3	PST103	0	0	3	fabbrica	fabbrica	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-4	PST103	0	0	4	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-5	PST103	0	0	5	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-6	PST103	0	0	6	quaranta	quaranta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-7	PST103	0	0	7	persone	persone	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-8	PST103	0	0	8	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-9	PST103	0	0	9	se	se	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-10	PST103	0	0	10	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-11	PST103	0	0	11	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-12	PST103	0	0	12	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-13	PST103	0	0	13	sai	sai	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-14	PST103	0	0	14	non:	non	_	_	_	_	_	linguistic	_	none	_	_	2x1	_	_	_
0-15	PST103	0	0	15	[non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(0)
0-16	PST103	0	0	16	si]	si	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
0-17	PST103	0	0	17	vede	vede	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-18	PST103	0	0	18	la	la	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-19	PST103	0	0	19	differen[za]	differenza	_	_	_	_	_	linguistic	_	none	_	End=5.151	_	_	_	8-10(1)
1-0	PST104	1	1	0	[sì]	sì	_	_	_	_	_	linguistic	_	none	_	Begin=4.04|End=4.422	_	_	_	0-2(0)
2-0	PST104	2	2	0	[è	è	_	_	_	_	_	linguistic	_	none	_	Begin=4.907	_	_	_	0-1(1)
2-1	PST104	2	2	1	co]me	come	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(1)
2-2	PST104	2	2	2	qua	qua	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PST104	2	2	3	de	de	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PST104	2	2	4	s~	s~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
2-5	PST104	2	2	5	operatore	operatore	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PST104	2	2	6	sociosanitario	sociosanitario	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-7	PST104	2	2	7	ma	ma	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-8	PST104	2	2	8	tu	tu	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-9	PST104	2	2	9	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-10	PST104	2	2	10	vieni	vieni	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-11	PST104	2	2	11	(un'	un'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	0-3(0)	_
2-12	PST104	2	2	12	altra)	altra	_	_	_	_	_	linguistic	_	none	_	_	_	_	0-5(0)	_
2-13	PST104	2	2	13	devi::	devi	_	_	_	_	_	linguistic	_	none	_	_	3x2	_	_	_
2-14	PST104	2	2	14	de[vi:]	devi	_	_	_	_	_	linguistic	_	none	_	End=10.276	3x1	_	_	1-4(114)
3-0	PST103	3	3	0	[xx]	xx	_	_	_	_	_	unknown	_	none	Syllables=2	Begin=9.68|End=10.276	_	_	_	0-2(114)
4-0	PST105	4	4	0	[oka~]	oka~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	Begin=9.875|End=10.239	_	_	_	0-4(114)
5-0	PST104	5	5	0	devi	devi	_	_	_	_	_	linguistic	_	some	_	Begin=10.64	_	_	_	_
5-1	PST104	5	5	1	fare	fare	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
5-2	PST104	5	5	2	il	il	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
5-3	PST104	5	5	3	turno	turno	_	_	_	_	_	linguistic	_	some	PauseAfter=Yes	_	_	_	_	_
5-4	PST104	5	5	4	(.)	(.)	_	_	_	_	_	shortpause	_	some	_	_	_	_	_	_
5-5	PST104	5	5	5	o	o	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
5-6	PST104	5	5	6	magari	magari	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
5-7	PST104	5	5	7	una	una	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
5-8	PST104	5	5	8	che	che	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
5-9	PST104	5	5	9	era	era	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
5-10	PST104	5	5	10	in	in	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
5-11	PST104	5	5	11	un	un	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
5-12	PST104	5	5	12	#reposo	reposo	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
5-13	PST104	5	5	13	viene	viene	_	_	_	_	_	linguistic	_	some	_	End=14.599	_	_	_	_
6-0	PST105	6	6	0	m::h	mh	_	_	_	_	_	linguistic	_	none	_	Begin=15.17|End=15.653	0x2	_	_	_
7-0	PST104	7	7	0	non	non	_	_	_	_	_	linguistic	_	none	_	Begin=16.22	_	_	_	_
7-1	PST104	7	7	1	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-2	PST104	7	7	2	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-3	PST104	7	7	3	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-4	PST104	7	7	4	per	per	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-5	PST104	7	7	5	forza	forza	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-6	PST104	7	7	6	devi	devi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-7	PST104	7	7	7	andare	andare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
7-8	PST104	7	7	8	malata	malata	_	_	_	_	_	linguistic	_	none	_	End=18.61	_	_	_	_
8-0	PST105	8	8	0	m:h	mh	_	_	_	_	_	linguistic	_	none	_	Begin=19.38|End=19.72	0x1	_	_	_
9-0	PST104	9	9	0	e	e	_	_	_	_	_	linguistic	_	some	_	Begin=19.75	_	_	_	_
9-1	PST104	9	9	1	poi	poi	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
9-2	PST104	9	9	2	i~	i~	_	_	_	_	_	linguistic	_	some	Interrupted=Yes	_	_	_	_	_
9-3	PST104	9	9	3	il	il	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
9-4	PST104	9	9	4	giorno	giorno	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
9-5	PST104	9	9	5	dopo	dopo	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
9-6	PST104	9	9	6	che	che	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
9-7	PST104	9	9	7	vai	vai	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
9-8	PST104	9	9	8	come	come	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
9-9	PST104	9	9	9	è	è	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
9-10	PST104	9	9	10	tuo	tuo	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
9-11	PST104	9	9	11	diritto	diritto	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
9-12	PST104	9	9	12	(come	come	_	_	_	_	_	linguistic	_	some	_	_	_	_	0-4(0)	_
9-13	PST104	9	9	13	delle	delle	_	_	_	_	_	linguistic	_	some	_	_	_	_	0-5(0)	_
9-14	PST104	9	9	14	altre)	altre	_	_	_	_	_	linguistic	_	some	_	_	_	_	0-5(0)	_
9-15	PST104	9	9	15	nessuno	nessuno	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
9-16	PST104	9	9	16	#*te	te	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Doubtful	_	_	_	_	_
9-17	PST104	9	9	17	dice	dice	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
9-18	PST104	9	9	18	nulla	nulla	_	_	_	_	_	linguistic	_	some	_	End=24.731	_	_	_	_
10-0	PST104	10	10	0	invece	invece	_	_	_	_	_	linguistic	_	some	_	Begin=25.105	_	_	_	_
10-1	PST104	10	10	1	quando	quando	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
10-2	PST104	10	10	2	vai	vai	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
10-3	PST104	10	10	3	a	a	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
10-4	PST104	10	10	4	lavorare	lavorare	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
10-5	PST104	10	10	5	#de	de	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
10-6	PST104	10	10	6	badante	badante	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
10-7	PST104	10	10	7	eh	eh	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
10-8	PST104	10	10	8	il	il	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
10-9	PST104	10	10	9	giorno	giorno	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
10-10	PST104	10	10	10	dopo	dopo	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
10-11	PST104	10	10	11	#*te	te	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Doubtful	_	_	_	_	_
10-12	PST104	10	10	12	guardano	guardano	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
10-13	PST104	10	10	13	mal~	mal~	_	_	_	_	_	linguistic	_	some	Interrupted=Yes	End=28.67	_	_	_	_
11-0	PST105	11	11	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=28.674|End=30.527	_	_	_	_
12-0	PST104	12	12	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=29.44|End=30.527	_	_	_	_
13-0	PST105	13	13	0	anch'	anch'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	Begin=31.015	_	_	_	_
13-1	PST105	13	13	1	io	io	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-2	PST105	13	13	2	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-3	PST105	13	13	3	fatto	fatto	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
13-4	PST105	13	13	4	così	così	_	_	_	_	_	linguistic	_	none	_	End=32.309	_	_	_	_
14-0	PST105	14	14	0	una	una	_	_	_	_	_	linguistic	_	none	_	Begin=32.75	_	_	_	_
14-1	PST105	14	14	1	volta	volta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-2	PST105	14	14	2	che:	che	_	_	_	_	_	linguistic	_	none	_	_	2x1	_	_	_
14-3	PST105	14	14	3	n~	n~	_	_	_	_	_	linguistic	_	none	Interrupted=Yes	_	_	_	_	_
14-4	PST105	14	14	4	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-5	PST105	14	14	5	(andata)	andata	_	_	_	_	_	linguistic	_	none	PauseAfter=Yes	_	_	_	0-6(0)	_
14-6	PST105	14	14	6	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
14-7	PST105	14	14	7	[una]	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(2)
14-8	PST105	14	14	8	settimana	settimana	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-9	PST105	14	14	9	non	non	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-10	PST105	14	14	10	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-11	PST105	14	14	11	andata	andata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-12	PST105	14	14	12	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
14-13	PST105	14	14	13	lavoro	lavoro	_	_	_	_	_	linguistic	_	none	_	End=36.999	_	_	_	_
15-0	PST104	15	15	0	[eh]	eh	_	_	_	_	_	linguistic	_	none	_	Begin=34.71|End=34.98	_	_	_	0-2(2)
16-0	PST104	16	16	0	oh	oh	_	_	_	_	_	linguistic	_	none	_	Begin=37.091	_	_	_	_
16-1	PST104	16	16	1	[xxx]	xxx	_	_	_	_	_	unknown	_	none	Syllables=3	End=38.99	_	_	_	0-3(3)
17-0	PST105	17	17	0	[e	e	_	_	_	_	_	linguistic	_	none	_	Begin=37.436	_	_	_	0-1(3)
17-1	PST105	17	17	1	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	0-2(3)
17-2	PST105	17	17	2	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(3)
17-3	PST105	17	17	3	trovata]	trovata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-7(3)
17-4	PST105	17	17	4	l'	l'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
17-5	PST105	17	17	5	ho	ho	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-6	PST105	17	17	6	trovata	trovata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-7	PST105	17	17	7	@emma	@emma	_	_	_	_	_	anonymized	_	none	PauseAfter=Yes	_	_	_	_	_
17-8	PST105	17	17	8	(.)	(.)	_	_	_	_	_	shortpause	_	none	_	_	_	_	_	_
17-9	PST105	17	17	9	tutta	tutta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
17-10	PST105	17	17	10	seria	seria	_	_	_	_	_	linguistic	_	none	_	End=40.726	_	_	_	_
18-0	PST104	18	18	0	mu[sona]	musona	_	_	_	_	_	linguistic	_	none	_	Begin=40.733|End=41.481	_	_	_	2-6(4)
19-0	PST105	19	19	0	[xxx]	xxx	_	_	_	_	_	unknown	_	none	Syllables=3	Begin=41.045	_	_	_	0-3(4)
19-1	PST105	19	19	1	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
19-2	PST105	19	19	2	sì	sì	_	_	_	_	_	linguistic	_	none	_	End=41.972	_	_	_	_
20-0	PST105	20	20	0	(e	e	_	_	_	_	_	linguistic	_	none	_	Begin=41.99	_	_	0-1(0)	_
20-1	PST105	20	20	1	tutti)	tutti	_	_	_	_	_	linguistic	_	none	_	_	_	_	0-5(0)	_
20-2	PST105	20	20	2	col	col	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
20-3	PST105	20	20	3	muso	muso	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
20-4	PST105	20	20	4	lungo	lungo	_	_	_	_	_	linguistic	_	none	_	End=43.599	_	_	_	_
21-0	PST104	21	21	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=41.99|End=43.383	_	_	_	_
22-0	PST105	22	22	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=43.599|End=45.184	_	_	_	_
23-0	PST104	23	23	0	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	Begin=43.599|End=45.184	_	_	_	_
24-0	PST105	24	24	0	(e)	e	_	_	_	_	_	linguistic	_	some	_	Begin=45.49	_	_	0-1(0)	_
24-1	PST105	24	24	1	facevo	facevo	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
24-2	PST105	24	24	2	finta	finta	_	_	_	_	_	linguistic	_	some	_	_	_	_	_	_
24-3	PST105	24	24	3	#de	de	_	_	_	_	_	linguistic	_	some	Language=NO_ISO_CODE|Variation=Token	_	_	_	_	_
24-4	PST105	24	24	4	niente	niente	_	_	_	_	_	linguistic	_	some	_	End=47.092	_	_	_	_
25-0	PST104	25	25	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=47.6	_	_	_	_
