token_id	speaker	tu_id	unit	id	span	form	lemma	upos	xpos	feats	deprel	type	meta_label	variation	jefferson_feats	align	prolongations	pace	guesses	overlaps
0-0	PST211	0	0	0	perfetto	perfetto	_	_	_	_	_	linguistic	_	none	_	Begin=1.4	_	_	_	_
0-1	PST211	0	0	1	ciao	ciao	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
0-2	PST211	0	0	2	@elisabetta	@elisabetta	_	_	_	_	_	anonymized	_	none	_	End=2.988	_	_	_	_
1-0	PST059	1	1	0	ciao	ciao	_	_	_	_	_	linguistic	_	none	_	Begin=3.38|End=3.92	_	_	_	_
2-0	PST211	2	2	0	ci	ci	_	_	_	_	_	linguistic	_	none	_	Begin=3.92	_	_	_	_
2-1	PST211	2	2	1	dicevi	dicevi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-2	PST211	2	2	2	tu	tu	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-3	PST211	2	2	3	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-4	PST211	2	2	4	arrivata	arrivata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-5	PST211	2	2	5	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-6	PST211	2	2	6	napoli	napoli	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-7	PST211	2	2	7	pri[ma	prima	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	3-5(0)
2-8	PST211	2	2	8	di]	di	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(0)
2-9	PST211	2	2	9	arrivare	arrivare	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-10	PST211	2	2	10	a	a	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-11	PST211	2	2	11	torino	torino	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-12	PST211	2	2	12	in	in	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-13	PST211	2	2	13	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
2-14	PST211	2	2	14	anno?	anno	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=7.458	_	_	_	_
3-0	PST059	3	3	0	[sì]	sì	_	_	_	_	_	linguistic	_	none	_	Begin=5.79|End=6.13	_	_	_	0-2(0)
4-0	PST059	4	4	0	duemila	duemila	_	_	_	_	_	linguistic	_	none	_	Begin=7.97	_	_	_	_
4-1	PST059	4	4	1	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
4-2	PST059	4	4	2	quattro	quattro	_	_	_	_	_	linguistic	_	none	_	End=9.19	_	_	_	_
5-0	PST211	5	5	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=9.27	_	_	_	_
5-1	PST211	5	5	1	okay	okay	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-2	PST211	5	5	2	quindi	quindi	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-3	PST211	5	5	3	sei	sei	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-4	PST211	5	5	4	qui	qui	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-5	PST211	5	5	5	da	da	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
5-6	PST211	5	5	6	vent'	vent'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
5-7	PST211	5	5	7	anni	anni	_	_	_	_	_	linguistic	_	none	_	End=11.1	_	_	_	_
6-0	PST059	6	6	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=11.15	_	_	_	_
6-1	PST059	6	6	1	una	una	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
6-2	PST059	6	6	2	[vita	vita	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-4(1)
6-3	PST059	6	6	3	(.)]	.	_	_	_	_	_	error	_	none	_	_	_	_	_	_
6-4	PST059	6	6	4	((ride))	((ride))	_	_	_	_	_	nonverbalbehavior	_	none	_	End=14.08	_	_	_	_
7-0	PST211	7	7	0	[e::	e	_	_	_	_	_	linguistic	_	none	_	Begin=11.81	0x2	_	_	0-1(1)
7-1	PST211	7	7	1	ci	ci	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(1)
7-2	PST211	7	7	2	racconti	racconti	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-8(1)
7-3	PST211	7	7	3	un	un	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-2(1)
7-4	PST211	7	7	4	po'	po'	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-3(1)
7-5	PST211	7	7	5	com'	com'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	0-4(1)
7-6	PST211	7	7	6	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	0-1(1)
7-7	PST211	7	7	7	andata]?	andata	_	_	_	_	_	linguistic	_	none	Intonation=Rising	End=14.09	_	_	_	0-6(1)
8-0	PST211	8	8	0	cosa:	cosa	_	_	_	_	_	linguistic	_	none	_	Begin=14.25|End=15.11	3x1	_	_	_
9-0	PST059	9	9	0	eh	eh	_	_	_	_	_	linguistic	_	none	_	Begin=15.11	_	_	_	_
9-1	PST059	9	9	1	eh	eh	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-2	PST059	9	9	2	com'	com'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	_	_	_	_	_
9-3	PST059	9	9	3	è	è	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-4	PST059	9	9	4	andata	andata	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-5	PST059	9	9	5	sono	sono	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-6	PST059	9	9	6	venuta	venuta	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-7	PST059	9	9	7	al	al	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
9-8	PST059	9	9	8	lavoro	lavoro	_	_	_	_	_	linguistic	_	none	_	End=17.3	_	_	_	_
10-0	PST211	10	10	0	ah	ah	_	_	_	_	_	linguistic	_	none	_	Begin=17.71	_	_	_	_
10-1	PST211	10	10	1	ah	ah	_	_	_	_	_	linguistic	_	none	_	End=18.37	_	_	_	_
11-0	PST059	11	11	0	c'	c'	_	_	_	_	_	linguistic	_	none	SpaceAfter=No	Begin=18.79	_	_	_	_
11-1	PST059	11	11	1	era	era	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-2	PST059	11	11	2	persone	persone	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-3	PST059	11	11	3	che	che	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-4	PST059	11	11	4	portavano	portavano	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-5	PST059	11	11	5	lavoro	lavoro	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-6	PST059	11	11	6	e	e	_	_	_	_	_	linguistic	_	none	_	_	_	_	_	_
11-7	PST059	11	11	7	così:	così	_	_	_	_	_	linguistic	_	none	_	_	3x1	_	_	_
